Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2025/7/17-19:27:05",1,1,1,up-right,"","","",100,"",0,"",1,"","",1,51.86662,-45.56956,24.77017,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:07",2,1,1,up-right,"","","",100,"",0,"",1,"","",1,48.8614,-42.92921,23.33495,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:08",3,1,1,up-right,"","","",100,"",0,"",2,"","",1,45.85696,-40.28952,21.90011,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,54.84258,-48.18421,-26.19142,0,1,135,BottomLeft,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:09",4,1,1,up-left,"hook,","up-left,","",100,"",0,"",3,"","",1,42.85096,-37.64848,20.46453,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,51.83659,-45.54317,-24.75583,0,1,135,BottomLeft,1,54.83758,-48.17982,-26.18903,0,1,135,BottomLeft,"hook-19:27:09,",""
"2025/7/17-19:27:10",5,1,2,up-left,"","","",100,"",0,"",4,"","",1,38.85204,-34.13506,18.55474,0,1,45,TopLeft,1,53.84685,47.30937,25.71589,0,0,0,1,315,TopRight,1,47.83766,-42.02975,-22.84604,0,1,135,BottomLeft,1,50.83865,-44.6664,-24.27925,0,1,135,BottomLeft,"",""
"2025/7/17-19:27:11",6,1,2,up-left,"","","MissingHook,",100,"",0,"",5,"","",1,35.85194,-31.49921,17.12196,0,1,45,TopLeft,1,50.84675,44.67351,24.2831,0,0,0,1,315,TopRight,1,44.83756,-39.39389,-21.41326,0,1,135,BottomLeft,2,47.83855,-42.03054,-22.84646,0,2,135,BottomLeft,"","hook-19:27:11,"
"2025/7/17-19:27:12",7,1,2,up-left,"","","",100,"",0,"",6,"","",1,32.84975,-28.86153,15.68817,0,1,45,TopLeft,1,47.84456,42.03582,22.84933,0,0,0,1,315,TopRight,1,41.83537,-36.7562,-19.97949,0,1,135,BottomLeft,3,44.83636,-39.39284,-21.41269,0,3,135,BottomLeft,"",""
"2025/7/17-19:27:13",8,1,2,up-left,"hook,","up-left,","",100,"",0,"",6,"","",1,29.85009,-26.22604,14.25561,0,1,45,TopLeft,1,44.84491,39.40034,21.41679,0,0,0,1,315,TopRight,1,38.83572,-34.12072,-18.54695,0,1,135,BottomLeft,3,41.83671,-36.75736,-19.98015,0,3,135,BottomLeft,"hook-19:27:13,",""
"2025/7/17-19:27:14",9,1,2,up-left,"","","",100,"",0,"",6,"","",1,26.84899,-23.58931,12.82237,0,1,45,TopLeft,1,41.84375,36.76355,19.98351,0,0,0,1,315,TopRight,1,35.83457,-31.48394,-17.11367,0,1,135,BottomLeft,3,38.83555,-34.12057,-18.54687,0,3,135,BottomLeft,"",""
"2025/7/17-19:27:15",10,1,2,up-left,"hook,","up-left,","MissingHook,",100,"",0,"",6,"","",1,23.84456,-20.94964,11.38753,1,0,45,TopLeft,1,38.83934,34.12391,18.54867,0,0,0,1,315,TopRight,1,32.83014,-28.84428,-15.67883,0,1,135,BottomLeft,3,35.83115,-31.48094,-17.11203,0,3,135,BottomLeft,"hook-19:27:15,","hook-19:27:15,"
"2025/7/17-19:27:17",11,1,2,up-left,"","","",100,"",0,"",6,"","",1,9.901947,-8.928464,4.281482,1,0,45,TopLeft,1,35.93324,31.57064,17.16078,0,0,0,1,315,TopRight,1,29.92399,-26.29096,-14.29094,0,1,135,BottomLeft,3,32.925,-28.92763,-15.72413,0,3,135,BottomLeft,"",""
"2025/7/17-19:27:18",12,1,2,up-right,"","","SuccHook,",100,"",0,"",6,"","",1,0,0,0,1,0,45,TopLeft,1,31.93824,28.06067,15.25287,0,0,0,1,315,TopRight,1,25.929,-22.781,-12.38303,0,1,135,BottomLeft,3,28.93001,-25.41766,-13.81622,0,3,135,BottomLeft,"","hook-19:27:17,"
"2025/7/17-19:27:19",13,1,2,up-right,"block,","up-right,","SuccBlock,",100,"",0,"",6,"","",1,0,0,0,1,0,45,TopLeft,1,56.67643,44.32293,35.32275,0,0,0,1,315,TopRight,1,22.92272,-20.1397,-10.94731,1,0,135,BottomLeft,3,25.92373,-22.77636,-12.3805,0,3,135,BottomLeft,"block-19:27:18,","block-19:27:18,"
"2025/7/17-19:27:20",14,1,2,down-right,"block,block,","down-right,down-right,","SuccBlock,",100,"",0,"",6,"","",1,0,0,0,1,0,45,TopLeft,1,141.4214,100,100,0,0,0,1,315,TopRight,1,64.23721,-48.0602,-42.62201,0,1,135,BottomLeft,3,22.92409,-20.14091,-10.94794,1,2,135,BottomLeft,"block-19:27:19,block-19:27:20,","block-19:27:19,"
"2025/7/17-19:27:21",15,1,2,down-right,"hook,","down-right,","SuccBlock,",100,"",0,"",5,"","Lucky grass,",0,999999,0,0,0,0,-1,none,1,141.4214,100,100,0,0,0,1,315,TopRight,1,141.4214,-100,-100,0,1,135,BottomLeft,3,25.92901,-22.78102,-12.383,0,3,135,BottomLeft,"hook-19:27:21,","block-19:27:20,"
"2025/7/17-19:27:22",16,1,2,down-right,"","","",100,"",0,"",4,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,1,141.4214,-100,-100,0,1,135,BottomLeft,3,17.76284,-15.26507,-9.082571,1,2,135,BottomLeft,"",""
"2025/7/17-19:27:23",17,1,2,down-right,"","","SuccHook,",100,"20,",-20,"-20,",2,"Fat Mushroom,","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,2,22.9258,-20.14242,-10.94876,1,1,135,BottomLeft,"","hook-19:27:22,"
"2025/7/17-19:27:24",18,1,2,down-right,"","","",100,"",-20,"",1,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,1,19.91945,-17.50106,-9.513009,1,0,135,BottomLeft,"",""
"2025/7/17-19:27:25",19,1,2,down-right,"hook,","down-right,","",100,"",-20,"",1,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,1,14.17707,-11.91075,-7.597376,1,0,135,BottomLeft,"hook-19:27:24,",""
"2025/7/17-19:27:26",20,-,-,down-right,"","","",100,"20,",-40,"-20,",0,"Fat Mushroom,","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:27",21,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:28",22,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:29",23,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:30",24,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:31",25,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:32",26,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:34",27,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:35",28,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:36",29,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:38",30,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:39",31,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:40",32,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:42",33,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:43",34,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:44",35,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:45",36,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:46",37,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:47",38,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:48",39,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:49",40,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:50",41,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:51",42,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:52",43,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:53",44,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:54",45,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:55",46,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:56",47,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:57",48,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:58",49,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:27:59",50,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:00",51,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:01",52,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:02",53,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:03",54,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:04",55,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:05",56,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:06",57,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:07",58,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:08",59,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:12",60,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:13",61,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:14",62,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:15",63,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:19",64,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:20",65,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:21",66,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:30",67,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:32",68,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:33",69,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:34",70,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:35",71,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:36",72,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:37",73,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:38",74,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:39",75,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
