# schema_version=v2
second,participant_id,level,wave,spawn_id,agent_type,n_reward,n_threat,n_coactive_fat,n_coactive_tall,event_type,avatar_hp_delta,avatar_gold_delta,avatar_hp,avatar_gold,unix_timestamp,datetime,in_field,distance,warning
1,,1,,,,1,0,0,0,level_start,0,0,100,0,1789470145824,2026-09-15 19:02:25,0,,
1,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,entry,0,0,100,0,,,1,54.861,
2,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,49.841,
3,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,44.849,
4,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,39.846,
5,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,34.848,
6,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,29.848,
7,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,24.851,
7,,1,,,,1,0,0,0,hook_fire,0,0,100,0,,,0,,
8,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,hook_hit,0,20,100,20,,,1,23.521,
8,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,entry,0,0,100,20,,,1,54.861,
9,,1,1,L1_W1_FAT_01,Coactive_Fat,0,0,1,0,,0,0,100,20,,,1,29.814,
10,,1,1,L1_W1_FAT_01,Coactive_Fat,0,0,1,0,,0,0,100,20,,,1,4.825,
11,,1,1,L1_W1_FAT_01,Coactive_Fat,0,0,1,0,collision,0,-30,100,-10,,,1,4.523,
12,,1,,,,0,0,0,0,,0,0,100,-10,,,0,,
13,,1,,,,0,0,0,0,block_miss,0,0,100,-10,,,0,,
14,,1,,,,0,0,0,0,hook_fire,0,0,100,-10,,,0,,
15,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,entry,0,0,100,-10,,,1,54.861,
16,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,49.846,
16,,1,,,,0,0,0,1,hook_miss,0,0,100,-10,,,0,,
17,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,44.85,
18,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,39.852,
19,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,34.856,
20,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,29.849,
21,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-10,,,1,24.852,
21,,1,,,,0,0,0,1,hook_fire,0,0,100,-10,,,0,,
22,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,hook_hit,-20,20,80,10,,,1,23.244,
22,,1,1,L1_W1_THR_01,Threat,0,1,0,1,entry,0,0,80,10,,,1,54.861,
23,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,80,10,,,1,49.854,
24,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,80,10,,,1,44.858,
25,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,80,10,,,1,39.851,
25,,1,,,,0,1,0,0,block_miss,0,0,80,10,,,0,,
26,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,80,10,,,1,34.816,
26,,1,,,,0,1,0,0,level_end,0,0,80,10,1789470174136,2026-09-15 19:02:54,0,,
