# schema_version=v2
second,participant_id,level,wave,spawn_id,agent_type,n_reward,n_threat,n_coactive_fat,n_coactive_tall,event_type,avatar_hp_delta,avatar_gold_delta,avatar_hp,avatar_gold,unix_timestamp,datetime,in_field,distance,warning
1,,1,,,,1,0,0,0,level_start,0,0,100,0,1789712638478,2026-09-18 14:23:58,0,,
1,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,entry,0,0,100,0,,,1,54.861,
2,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,49.856,
3,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,44.852,
4,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,39.855,
5,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,34.86,
6,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,29.859,
7,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,24.855,
8,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,19.858,
8,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,entry,0,0,100,0,,,1,54.861,
9,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,14.86,
9,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,29.812,
10,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,9.857,
10,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,4.797,
11,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,4.856,
11,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,collision,0,-30,100,-30,,,1,4.528,
12,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,collision,0,-30,100,-60,,,1,4.708,
13,,1,,,,0,0,0,0,,0,0,100,-60,,,0,,
14,,1,,,,0,0,0,0,,0,0,100,-60,,,0,,
15,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,entry,0,0,100,-60,,,1,54.861,
16,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,49.853,
17,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,44.847,
18,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,39.845,
19,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,34.843,
20,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,29.853,
21,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,24.847,
22,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,19.847,
22,,1,1,L1_W1_THR_01,Threat,0,1,0,1,entry,0,0,100,-60,,,1,54.861,
23,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,14.853,
23,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,49.857,
24,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,9.845,
24,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,44.85,
25,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,4.851,
25,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,39.855,
26,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,34.853,
26,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,collision,0,-30,100,-90,,,1,4.698,
27,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,100,-90,,,1,29.849,
28,,1,1,L1_W1_THR_01,Threat,1,1,1,0,,0,0,100,-90,,,1,24.854,
28,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,entry,0,0,100,-90,,,1,54.861,
28,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,entry,0,0,100,-90,,,1,54.861,
29,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,100,-90,,,1,49.853,
29,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,100,-90,,,1,49.853,
29,,1,1,L1_W1_THR_01,Threat,1,1,1,0,shot,-5,0,95,-90,,,1,21.895,
30,,1,1,L1_W1_THR_01,Threat,1,1,1,0,,0,0,95,-90,,,1,14.857,
30,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,95,-90,,,1,44.855,
30,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,95,-90,,,1,44.855,
31,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,95,-90,,,1,39.844,
31,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,95,-90,,,1,39.844,
31,,1,1,L1_W1_THR_01,Threat,1,1,1,0,shot,-5,0,90,-90,,,1,13.118,
32,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,90,-90,,,1,34.848,
32,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,90,-90,,,1,34.848,
32,,1,1,L1_W1_THR_01,Threat,1,1,1,0,collision,10,-30,100,-120,,,1,5.201,
33,,1,1,L1_W1_RWD_02,Reward,1,0,1,0,,0,0,100,-120,,,1,29.853,
33,,1,1,L1_W1_FAT_02,Coactive_Fat,1,0,1,0,,0,0,100,-120,,,1,29.853,
34,,1,1,L1_W1_RWD_02,Reward,1,0,1,0,,0,0,100,-120,,,1,24.853,
34,,1,1,L1_W1_FAT_02,Coactive_Fat,1,0,1,0,,0,0,100,-120,,,1,24.853,
34,,1,,,,1,0,1,0,level_end,0,0,100,-120,1789712674275,2026-09-18 14:24:34,0,,
